Seed,Overall W-L%,Conference W-L%,Own PPG,Opp PPG,sweet-16?
13,0.543,0.438,78.8,75.5,No
1,0.917,0.938,81.2,64.8,No
2,0.784,0.688,79.3,69.7,Yes
1,0.921,0.875,79.3,64.9,Yes
16,0.667,0.714,75.1,70.6,No
9,0.606,0.611,75.9,69.8,No
6,0.647,0.611,71.6,64.6,No
4,0.727,0.813,79.1,69.3,No
5,0.757,0.778,71.1,64,Yes
11,0.6,0.5,72.4,64.1,No
10,0.676,0.625,77.3,66.2,No
14,0.688,0.625,69.3,63,No
15,0.73,0.938,75.7,70.7,No
13,0.861,0.944,74.2,61.6,No
8,0.735,0.688,72.1,64.3,No
3,0.857,0.875,75.9,67.2,No
12,0.647,0.688,78.2,77.8,No
15,0.727,0.722,72,69.7,No
9,0.857,0.833,63.3,55.5,Yes
6,0.657,0.556,75.3,68.4,No
14,0.743,0.944,74.6,72.3,No
14,0.595,0.438,73.9,69.4,No
2,0.784,0.778,73.9,61.8,Yes
7,0.667,0.563,73.5,68.1,No
11,0.75,0.833,67.1,57.5,No
3,0.735,0.722,68.7,61.8,No
4,0.829,0.778,69.9,61.2,Yes
7,0.743,0.813,69.3,62.7,No
15,0.657,0.833,69,66.6,No
10,0.824,0.786,77.8,66.6,Yes
14,0.758,0.875,79.3,72.3,No
11,0.735,0.688,69.5,62.3,No
13,0.794,0.944,75.1,65.5,No
1,0.857,0.833,80.9,66.4,Yes
5,0.829,0.875,64.9,56.8,No
6,0.757,0.688,73.5,65.2,Yes
8,0.706,0.563,81.2,70,No
5,0.706,0.688,70.5,65.1,No
12,0.788,0.938,75.3,64.6,No
15,0.667,0.75,67,66,No
8,0.686,0.722,77.2,68.2,No
12,0.771,0.875,73.1,60.7,No
4,0.727,0.75,77.2,69.8,No
16,0.714,0.75,70.2,64.8,No
2,0.758,0.722,81.8,72.8,No
9,0.645,0.563,72.7,70.1,No
11,0.722,0.611,77.9,69.8,Yes
2,0.816,0.722,72.4,63.5,Yes
16,0.576,0.667,62.5,63.9,No
4,0.727,0.722,67.1,56.9,No
13,0.743,0.833,68,61,No
6,0.743,0.875,79.8,69.5,Yes
13,0.639,0.625,66.3,61,No
16,0.688,0.889,68.3,63.2,No
14,0.75,0.929,64.5,59.1,No
12,0.6,0.5,72.3,69.2,Yes
6,0.714,0.611,69.4,60.5,No
15,0.719,0.813,69.5,67.2,No
7,0.647,0.563,74.4,71.3,No
8,0.758,0.75,76.9,66,No
9,0.813,0.833,66.9,58.9,No
15,0.548,0.688,73.8,71,No
16,0.514,0.55,74.2,77.3,No
7,0.719,0.563,78.4,69.4,No
13,0.703,0.667,65.3,60.4,No
1,0.861,0.833,78,64.4,Yes
14,0.677,0.786,72.6,65.9,No
11,0.771,0.688,66.8,61.4,No
2,0.811,0.688,77.4,66.4,Yes
16,0.676,0.7,78,73,No
5,0.714,0.625,68.3,64.9,No
4,0.824,1,78.5,64.1,Yes
5,0.706,0.611,64.8,57.2,No
3,0.771,0.875,76.1,66,Yes
8,0.771,0.813,74.8,66.2,No
1,0.838,0.889,74.3,61.8,Yes
6,0.714,0.667,77.6,70.4,No
10,0.6,0.438,71.8,69.6,No
2,0.892,1,75.1,58.8,Yes
10,0.6,0.5,66,63.8,No
2,0.816,0.833,72,63.7,Yes
10,0.667,0.5,66,61.9,No
13,0.639,0.563,73.6,69.1,No
3,0.816,0.75,80.8,67.9,Yes
16,0.556,0.667,68.6,68.1,No
15,0.657,0.813,66.4,62.1,No
1,0.895,0.813,89.1,72,Yes
14,0.788,0.889,78.3,69.4,No
12,0.676,0.778,67.3,63.9,No
8,0.667,0.556,66.2,61.9,No
2,0.833,0.813,78.7,67.5,Yes
8,0.657,0.563,80.9,74.5,No
1,0.861,0.833,77.2,64.6,Yes
13,0.697,0.688,73,68.7,No
5,0.73,0.611,69.1,59.8,Yes
16,0.636,0.833,74.4,74.6,No
15,0.686,0.833,70.4,65.9,No
9,0.771,0.889,77.4,70.3,No
10,0.629,0.5,68.5,63.5,No
14,0.75,0.813,63.3,59,No
3,0.737,0.611,80,72.3,Yes
11,0.647,0.688,68.6,63.5,No
9,0.618,0.625,78.4,72.5,No
7,0.657,0.563,72.3,65.6,No
9,0.706,0.563,71.6,67.2,No
6,0.743,0.722,75.5,64,No
7,0.667,0.611,74.9,68.8,No
5,0.706,0.75,71,64.1,No
11,0.857,0.875,71.7,62.4,No
3,0.789,0.722,76.4,67.6,Yes
11,0.706,0.778,71.8,63.4,No
4,0.774,0.688,81.2,72.9,No
4,0.743,0.778,78.3,69.7,No
6,0.657,0.556,72,61.8,No
12,0.735,0.833,72.5,67.6,No
12,0.606,0.556,63.1,59.1,No
4,0.771,0.75,71.7,61.9,Yes
15,0.636,0.714,64.6,62.5,No
10,0.559,0.444,71.4,67,No
9,0.657,0.563,74.1,68.3,No
15,0.686,0.8,74.2,71.2,No
11,0.656,0.563,80.7,75,No
15,0.735,0.875,78.8,75.5,No
14,0.735,0.75,80.6,77,No
8,0.771,0.875,73.7,63.2,No
7,0.882,0.889,68.5,58.2,No
14,0.727,0.75,81.2,72.5,No
5,0.706,0.625,79,70.1,No
4,0.727,0.722,77.5,68.7,No
16,0.432,0.438,58.7,67,No
14,0.786,1,76.2,70.7,No
10,0.806,1,76,63.8,Yes
5,0.848,0.833,72.7,62.8,No
2,0.824,0.813,82.1,69.8,No
12,0.676,0.667,69.3,62.5,No
2,0.824,0.833,69.6,58.1,No
14,0.5,0.25,67.7,67.4,No
7,0.758,0.929,76.5,63.8,No
8,0.758,0.778,75,65.3,No
1,0.925,0.813,80.2,61.5,Yes
11,0.636,0.625,77.7,69.7,No
9,0.8,0.813,68.9,61.9,No
11,0.581,0.75,68.6,66.5,No
3,0.75,0.778,72.5,61.5,Yes
6,0.714,0.611,76.6,66.1,No
15,0.727,0.813,74,69.4,No
1,0.95,1,79.9,61.9,Yes
7,0.676,0.5,73.5,68.3,No
5,0.75,0.667,71.2,62.6,Yes
8,0.676,0.75,73.2,65.5,No
16,0.515,0.667,60,65.8,No
16,0.559,0.611,69.2,67.7,No
8,0.771,0.75,68.6,62.4,No
1,0.923,0.875,88.6,72.5,Yes
5,0.758,0.778,79.1,70,No
6,0.657,0.563,67.9,63.8,No
13,0.727,0.889,68.8,62.9,No
9,0.563,0.5,76.6,72.5,No
4,0.73,0.556,73,65.2,No
16,0.697,0.875,74.1,69.4,No
6,0.735,0.833,69.6,62.4,No
11,0.618,0.563,73.1,67.4,No
10,0.781,0.857,74.8,63.8,No
13,0.611,0.786,64.9,62.9,No
13,0.676,0.722,76.9,71.2,No
10,0.788,0.889,75.8,66.9,No
6,0.636,0.611,69,63.7,No
3,0.778,0.722,70.9,61.6,Yes
12,0.618,0.688,72.3,68.7,No
2,0.861,0.875,81.3,70.7,Yes
2,0.816,0.813,74.8,65.3,Yes
9,0.694,0.5,70.4,61.6,No
16,0.636,0.438,72.3,70.6,No
1,0.897,0.889,73.4,59.4,Yes
4,0.765,0.625,80,74.6,No
12,0.629,0.5,72.8,69.5,Yes
4,0.743,0.611,66.4,56.4,Yes
7,0.703,0.611,74.7,63.9,Yes
12,0.806,0.889,76.4,67.3,Yes
13,0.647,0.714,64.6,59.6,Yes
3,0.861,0.889,67.3,54.4,No
3,0.811,0.875,75.1,63.4,Yes
13,0.697,0.813,68,64.8,No
8,0.645,0.611,78,72.5,No
12,0.6,0.438,71.1,66,No
15,0.697,0.778,71.4,67,No
7,0.636,0.625,74.3,69.8,No
8,0.735,0.813,77.3,69.9,No
5,0.806,0.813,67.6,57.2,Yes
12,0.75,0.857,79.7,75.4,No
16,0.647,0.889,68.9,66.1,No
10,0.667,0.722,67.3,60.9,No
13,0.853,0.944,79.7,69.1,No
6,0.667,0.5,70.4,62,No
16,0.636,0.65,65.3,64.2,No
1,0.875,0.813,79.7,63.2,Yes
16,0.6,0.667,68.6,70.8,No
11,0.719,0.688,70.1,65.2,No
2,0.811,0.813,68.9,58.7,Yes
10,0.625,0.5,78,70.2,No
10,0.676,0.786,78.5,70.1,No
13,0.735,0.929,63.9,57.5,No
12,0.657,0.563,64.1,57.1,No
7,0.656,0.625,70.2,61.8,No
16,0.6,0.667,71.4,73.7,No
1,0.868,0.875,77.9,62.2,Yes
8,0.647,0.563,73.4,67.7,No
6,0.706,0.75,71.4,63,No
8,0.706,0.625,72.1,64.9,No
4,0.735,0.625,79,67.5,No
2,0.892,1,78.9,63.1,Yes
14,0.545,0.625,59.5,57.4,No
9,0.657,0.5,65,57.2,No
7,0.853,0.875,77.2,67.7,No
7,0.811,0.75,74.7,67.1,Yes
13,0.735,0.688,77.3,72.3,No
16,0.657,0.722,75.8,74.5,No
1,0.816,0.688,85.7,68.6,Yes
15,0.676,0.556,75.6,72.2,No
6,0.75,0.688,80.7,68.7,No
1,0.897,0.938,74.5,62,Yes
12,0.727,0.833,69.4,62,No
14,0.676,0.857,71.2,65.6,No
3,0.784,0.611,75.9,66.2,Yes
14,0.71,0.929,73.3,67.5,No
3,0.784,0.75,71.3,62.8,Yes
9,0.647,0.563,69.3,63.5,No
5,0.676,0.611,71.5,65.6,Yes
4,0.806,0.833,63.1,57,Yes
11,0.581,0.556,69.1,67,No
5,0.686,0.625,80.9,75.1,Yes
4,0.714,0.75,81.7,72.2,No
3,0.794,0.813,75.6,59.4,Yes
15,0.788,0.875,78.4,70.6,No
10,0.618,0.563,71.3,68.7,No
2,0.833,0.833,70.9,59.8,Yes
6,0.647,0.625,75.5,70.5,Yes
9,0.667,0.563,71.7,64.8,No
4,0.656,0.688,77.1,72.2,No
11,0.8,0.889,75,65.7,No
5,0.647,0.625,70.8,64.7,No
3,0.765,0.722,66.9,59.5,No
15,0.625,0.688,70.1,70.9,No
11,0.853,1,73.7,63.3,No
2,0.833,0.813,70.2,57.9,No
14,0.697,0.813,64.4,62.2,No
9,0.735,0.813,76.3,65.5,No
13,0.774,0.75,63.4,55.6,No
10,0.581,0.625,70.3,67.5,No
9,0.774,0.857,73.6,65.5,No
16,0.656,0.813,68.5,64.6,No
8,0.606,0.611,73.7,68.7,No
8,0.688,0.625,73.7,64.9,No
15,0.645,0.75,80,76.9,No
4,0.778,0.688,74.3,66.6,Yes
13,0.667,0.611,71.5,65.1,Yes
9,0.844,1,65.7,56.2,No
1,0.882,0.875,81.8,67.1,Yes
15,0.645,0.667,75.1,70.2,No
1,0.889,0.875,81.1,68.1,Yes
3,0.846,0.625,78.3,63.5,Yes
11,0.771,0.833,69.4,60.1,Yes
8,0.9,1,78.4,68.4,No
7,0.697,0.625,66,58.9,Yes
3,0.879,1,80.1,72.8,Yes
16,0.5,0.556,66.3,63.9,No
4,0.788,0.688,69.4,58.5,No
6,0.613,0.563,72,67.2,No
13,0.742,0.722,79.8,72.2,No
3,0.735,0.688,66.3,58.9,No
4,0.758,0.813,74,61.5,No
12,0.735,0.833,71.8,65.5,No
8,0.629,0.563,70.8,66.5,No
4,0.75,0.875,73.1,64.3,Yes
7,0.645,0.625,74.1,71,No
1,0.892,0.929,80,65.5,Yes
6,0.647,0.5,73.7,68.7,No
11,0.71,0.75,73.3,67.1,No
16,0.559,0.667,64.4,63.4,No
12,0.774,0.714,77.8,72,No
14,0.774,0.85,70.9,61.7,No
5,0.818,0.813,72.3,64.4,No
3,0.742,0.75,79.4,68.6,No
10,0.688,0.625,74.5,67.4,No
9,0.758,0.833,68.2,59.8,No
10,0.697,0.611,64.9,58.5,No
14,0.765,0.938,74.7,69.3,No
2,0.813,0.75,73.8,63.7,No
6,0.69,0.688,68.8,63.7,No
16,0.636,0.813,74.3,68.7,No
13,0.75,0.857,73.7,65.2,No
15,0.69,0.857,68.4,60.1,No
5,0.758,0.625,72.5,63.1,No
11,0.727,0.813,73.8,67.6,No
10,0.6,0.563,67.8,67.1,No
14,0.774,0.8,73.3,66.2,No
16,0.606,0.833,65.4,64.7,No
11,0.667,0.667,60.3,56,No
5,0.657,0.438,72.4,68.9,No
2,0.733,0.75,80.4,73.5,No
2,0.811,0.813,75.2,60.3,Yes
12,0.71,0.625,68.7,60.3,No
2,0.821,0.778,67.7,58.7,Yes
7,0.645,0.667,68.2,64.7,No
12,0.719,0.688,71.1,65.1,No
1,0.848,0.875,73.7,63.4,Yes
5,0.788,0.722,82,69.9,Yes
6,0.667,0.688,70.3,64.4,Yes
7,0.743,0.778,68.8,62.1,Yes
15,0.742,0.813,72.3,61.1,No
9,0.613,0.563,71.7,65.8,No
14,0.656,0.5,71.6,63.4,No
5,0.75,0.75,75.4,65.4,No
16,0.563,0.667,69.1,68.2,No
11,0.667,0.625,77.5,71.8,No
3,0.811,0.833,79.7,69.7,Yes
4,0.833,0.813,72.5,64.5,No
14,0.697,0.714,63.4,59.1,No
15,0.727,0.65,68.4,65.5,No
7,0.724,0.75,77.8,72.2,No
15,0.645,0.625,69.9,67.6,No
7,0.758,0.75,75.3,64.4,No
2,0.742,0.813,78,66.8,No
10,0.676,0.611,71.2,64.9,No
16,0.576,0.778,61.9,61.7,No
1,0.818,0.688,78.2,65.2,Yes
15,0.71,0.688,70.1,67.6,No
16,0.606,0.722,73.6,70.8,No
4,0.75,0.75,76.2,63.1,No
12,0.733,0.688,76.9,67.4,No
5,0.625,0.5,74.1,66.7,No
3,0.839,0.857,78.9,70,No
1,0.949,0.938,76.2,60.6,Yes
10,0.636,0.438,72.9,67.3,No
9,0.613,0.563,68.5,65.5,No
3,0.767,0.75,75,65.2,No
2,0.824,0.875,73.6,62.6,Yes
13,0.645,0.733,72,68.2,No
6,0.667,0.75,75.2,71.4,No
4,0.868,0.875,80.1,63.7,Yes
5,0.788,0.813,78.5,65.4,Yes
12,0.813,0.875,74.1,65.2,Yes
8,0.656,0.625,68,62.9,No
9,0.676,0.563,72.5,66,No
16,0.581,0.643,69.6,69.7,No
9,0.781,0.889,69.2,63,No
12,0.788,0.714,74.6,65,No
14,0.667,0.722,84.6,78.4,No
1,0.892,0.875,88,70.3,Yes
10,0.6,0.438,73.1,66.1,Yes
11,0.656,0.611,71.4,66.6,No
16,0.406,0.438,70.5,74.1,No
13,0.656,0.611,71.5,67.9,No
3,0.758,0.75,75,63.9,No
2,0.788,0.688,77.8,66.1,Yes
12,0.824,0.833,70.1,61.5,No
8,0.871,1,72.8,65,No
13,0.69,0.929,68.3,61.7,No
9,0.69,0.625,72.3,63.5,No
10,0.735,0.786,69.5,65.3,No
15,0.727,0.813,60.9,56.5,No
7,0.771,0.833,67.1,60.7,No
8,0.581,0.611,70,69.1,No
4,0.794,0.688,74.1,64.9,No
8,0.645,0.563,76.7,68.7,No
6,0.667,0.625,76.5,69.3,Yes
11,0.771,0.778,75,66.3,No
11,0.621,0.611,73.7,71.7,No
6,0.829,0.929,66.2,56.8,Yes
14,0.75,0.722,72.1,57.8,No
13,0.781,0.889,71.8,62.1,No
5,0.75,0.688,73,62.4,Yes
2,0.818,0.813,84.8,74.8,No
1,0.829,0.778,86.4,74.3,Yes
7,0.686,0.5,71.5,67.3,Yes
14,0.818,0.938,66.7,59.5,No
6,0.735,0.688,67.4,60.2,Yes
